,mol_name,mol_smiles,mol_act,mol_fp,mol_prob
645,CHEMBL197720,CN(C)S(=O)(=O)c1ccc(CN(Cc2ccc(C(F)(F)P(=O)(O)O)cc2)S(=O)(=O)c2ccc(OCC(=O)O)cc2)cc1,1.1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002D74F972E90>,0.33287108369807955
646,CHEMBL197590,CC(=O)NCCN(Cc1ccc(C(F)(F)P(=O)(O)O)cc1)S(=O)(=O)c1ccc(OCC(=O)O)cc1,9.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002D74F972EE0>,0.00012340980408667956
647,CHEMBL3356396,CC1=C(CCC(=O)OC/C=C(\C)CCC[C@H](C)CCC[C@H](C)CCCC(C)C)C(=O)NC1=O,2.3,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002D74F972F30>,0.10025884372280375
648,CHEMBL253476,Cc1cc(CC(NS(=O)(=O)c2cccc(F)c2)C2=NC[C@@H](CCOc3cccc(S(C)(=O)=O)c3)N2)ccc1C1CC(=O)NS1(=O)=O,0.023,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002D74F972F80>,0.9772624837732771
649,CHEMBL2035962,CCOC(=O)C(=O)Nc1nc2ccc(F)cc2s1,8.7,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002D74F973030>,0.00016658581098763354
650,CHEMBL508150,COc1ccc(OC)c([C@@H]2O[C@H](Cn3cc(COC(=O)c4cccc(C(=O)OCc5cn(C[C@H]6O[C@@H](c7cc(OC)ccc7OC)[C@H](OC(=O)c7ccccc7)[C@@H](OC(=O)c7ccccc7)[C@H]6OC(=O)c6ccccc6)nn5)c4)nn3)[C@H](OC(=O)c3ccccc3)[C@H](OC(=O)c3ccccc3)[C@H]2OC(=O)c2ccccc2)c1,0.88,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002D74F973080>,0.4147829116815814
651,CHEMBL377441,Cc1cc(C[C@H](NS(=O)(=O)c2cccc(Cl)c2)c2nc3ccccc3[nH]2)ccc1[C@@H]1CC(=O)[N-]S1(=O)=O.[Na+],0.076,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002D74F9730D0>,0.9268162065593822
652,CHEMBL370140,COc1ccc(C(=O)c2ccc3c(-c4ccc(OCC(=O)N5CCN(Cc6ccccc6)CC5)cc4)nocc2-3)cc1,5.48,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002D74F973120>,0.0041693296979041115
653,CHEMBL202573,O=C(O)COc1ccc(-c2nocc3c(C(=O)c4cccc(C(F)(F)F)c4)ccc2-3)cc1,7.55,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002D74F973170>,0.0005261101271160638
654,CHEMBL410646,CC(Cc1ccc(C(F)(F)P(=O)(O)O)cc1)(c1ccccc1)n1nnc2ccccc21,0.016,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002D74F9731C0>,0.9841273200552851
