,mol_name,mol_smiles,mol_act,mol_fp
41,CHEMBL1938825,O=C(O)COc1ccc(S(=O)(=O)N(Cc2ccc(-c3csnn3)cc2)Cc2ccc3cc(Br)c(C(F)(F)P(=O)(O)O)cc3n2)cc1,0.018000000000000002,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC9687BC0>
42,CHEMBL208114,O=C1CC(c2ccc(C[C@H](NS(=O)(=O)c3ccccc3)c3nc4ccccc4[nH]3)cc2F)S(=O)(=O)[N-]1.[Na+],0.018000000000000002,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC9687C10>
43,CHEMBL8662,O=P(O)(O)C(F)(F)c1ccc(CC(Cc2ccc(C(F)(F)P(=O)(O)O)cc2)(c2nc3ccccc3s2)n2nnc3ccccc32)cc1,0.018000000000000002,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC9687C60>
44,CHEMBL211352,Cc1cc(C[C@H](NS(=O)(=O)c2ccccc2C#N)c2nc3ccccc3[nH]2)ccc1[C@@H]1CC(=O)[N-]S1(=O)=O.[Na+],0.018000000000000002,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC9687CB0>
45,CHEMBL590122,CCc1cc(C[C@H](NC(C)=O)C(=O)NCCCCOc2cccc(O)c2C(=O)OC)ccc1N(C(=O)C(=O)O)c1ccccc1C(=O)O,0.018000000000000002,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC9687D00>
46,CHEMBL4164960,CCOc1cc(NS(C)(=O)=O)c(OCC)cc1CNC(=O)Nc1ccc(OCC)c(C(=O)OC)c1,0.0186,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC9687D50>
47,CHEMBL9473,O=P(O)(O)C(F)(F)c1ccc(CC(Cc2ccc(C(F)(F)P(=O)(O)O)cc2)(c2nc(-c3ccccc3)cs2)n2nnc3ccccc32)cc1,0.019,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC9687DA0>
48,CHEMBL1765346,CN(CCCCCl)P(=O)(OCc1cc([N+](=O)[O-])co1)C(F)(F)c1ccc(CC(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc2ccc(C(F)(F)P(=O)(OCc3ccc([N+](=O)[O-])o3)N(C)CCCCCl)cc2)C(N)=O)cc1,0.02,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC9687DF0>
49,CHEMBL273474,O=P(O)(O)C(F)(F)c1ccc(CC(Cc2ccc(C(F)(F)P(=O)(O)O)cc2)(c2ccc3ccccc3n2)n2nnc3ccccc32)cc1,0.02,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC9687E40>
50,CHEMBL403468,Cc1cc(CC(NS(=O)(=O)c2cccc(F)c2)C2=NC[C@@H](CCCCOc3cccc(O)c3C(=O)O)N2)ccc1C1CC(=O)NS1(=O)=O,0.022000000000000002,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC9687E90>
51,CHEMBL541953,CC(=O)N[C@H](Cc1ccc(N(C(=O)C(=O)O)c2ccccc2C(=O)O)c2ccccc12)C(=O)NCCCCCOc1cc2ccccc2cc1C(=O)O,0.022000000000000002,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC9687EE0>
52,CHEMBL253476,Cc1cc(CC(NS(=O)(=O)c2cccc(F)c2)C2=NC[C@@H](CCOc3cccc(S(C)(=O)=O)c3)N2)ccc1C1CC(=O)NS1(=O)=O,0.023,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC9687F30>
53,CHEMBL590689,Cc1cc(CC(NS(=O)(=O)c2cccc(F)c2)C2=N[C@H](CCOc3ccccc3S(C)(=O)=O)CN2)ccc1C1CC(=O)NS1(=O)=O,0.023,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC9687F80>
54,CHEMBL25189,CCCCCCC(Oc1c(Br)cc(-c2ccc(-c3c(Cc4ccccc4)oc4ccccc34)cc2)cc1Br)C(=O)O,0.023,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC9688030>
55,CHEMBL285308,O=C(O)c1ccc(S(=O)(=O)Oc2ccc(-c3ccc(-c4c(Cc5ccccc5)sc5ccccc45)cc3)cc2Br)cc1O,0.024,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC9688080>
56,CHEMBL1083714,O=C(O)[C@@H](Cc1ccccc1)Oc1c(Br)cc(-c2ccc(-c3c(Cc4ccccc4)sc4ccccc34)cc2)cc1Br,0.025,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC96880D0>
57,CHEMBL26103,COc1cccc(-c2cc(-c3ccc(-c4c(Cc5ccccc5)sc5ccccc45)cc3)cc(-c3cccc(OC)c3)c2OCC(=O)O)c1,0.025,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC9688120>
58,CHEMBL284471,COc1ccc(-c2cc(-c3ccc(-c4c(Cc5ccccc5)sc5ccccc45)cc3)cc(-c3ccc(OC)cc3)c2OCC(=O)O)cc1,0.025,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC9688170>
59,CHEMBL284471,COc1ccc(-c2cc(-c3ccc(-c4c(Cc5ccccc5)sc5ccccc45)cc3)cc(-c3ccc(OC)cc3)c2OCC(=O)O)cc1,0.02512,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC96881C0>
60,CHEMBL1083714,O=C(O)[C@@H](Cc1ccccc1)Oc1c(Br)cc(-c2ccc(-c3c(Cc4ccccc4)sc4ccccc34)cc2)cc1Br,0.02512,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC9688210>
61,CHEMBL26103,COc1cccc(-c2cc(-c3ccc(-c4c(Cc5ccccc5)sc5ccccc45)cc3)cc(-c3cccc(OC)c3)c2OCC(=O)O)c1,0.02512,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC9688260>
62,CHEMBL441959,O=C(O)c1cc(S(=O)(=O)Oc2ccc(-c3ccc(-c4c(Cc5ccccc5)oc5ccccc45)cc3)cc2)ccc1O,0.026000000000000002,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC96882B0>
63,CHEMBL261362,O=C(Nc1cccc(F)c1)c1ccc2cc(Br)c(C(F)(F)P(=O)(O)O)cc2n1,0.027000000000000003,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC9688300>
64,CHEMBL607027,O=C1C[C@@H](c2ccc(C[C@H](Nc3nc4ccccc4s3)c3nc4ccccc4[nH]3)cc2F)S(=O)(=O)N1,0.027000000000000003,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC9688350>
