,mol_name,mol_smiles,mol_act,mol_fp,mol_prob
93,CHEMBL509443,CC1(C)CC[C@]2(CCCCC(=O)N[C@@H](Cc3ccccc3)C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1,0.57,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x00000232C5DC64E0>,0.5655254386995371
94,CHEMBL1823961,COc1cccc(/C=C/C(=O)NC(Cc2ccc3cc(OCc4ccccc4F)ccc3c2)C(=O)O)c1,8.15,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x00000232C5DC6530>,0.000288735359628203
95,CHEMBL590155,CCc1csc([C@H](Cc2ccc(NS(=O)(=O)O)cc2)NC(=O)[C@H](CC(C)C)C(=O)OC)n1,0.07,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x00000232C5DC6490>,0.9323938199059483
96,CHEMBL1795950,CC(C)(C)OC(=O)N[C@@H](COCc1cn([C@@H]2O[C@H](COCc3ccccc3)[C@@H](OCc3ccccc3)[C@H](OCc3ccccc3)[C@H]2OCc2ccccc2)nn1)C(=O)O,5.9,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x00000232C5DC6210>,0.0027394448187683684
97,CHEMBL606859,Cc1nc(-c2ccc(Cl)cc2)sc1CCc1cccc(C(O)(C(=O)O)C(F)(F)F)c1,3.2,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x00000232C5DC6120>,0.04076220397836621
98,CHEMBL202219,O=C(c1ccc2c(-c3ccc(OC(C(=O)O)C(=O)O)cc3)nocc1-2)C1CCCC1,8.19,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x00000232C5DC65D0>,0.0002774138842406257
99,CHEMBL202197,NCc1ccc(C(=O)c2ccc3c(-c4ccc(OCC(=O)O)cc4)nocc2-3)cc1,2.16,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x00000232C5DC6670>,0.11532512103806251
100,CHEMBL1778908,COc1cc(O)c(Br)cc1/C=C/C(=O)c1ccc(OC(=O)c2ccccc2)cc1,4.9,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x00000232C5DC66C0>,0.007446583070924338
101,CHEMBL1778901,CCCCOc1ccc(C(=O)/C=C/c2cc(Br)c(O)cc2OC)cc1,4.2,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x00000232C5DC6620>,0.014995576820477703
102,CHEMBL1778899,COc1ccc(C(=O)/C=C/c2cc(Br)c(O)cc2OC)cc1,9.9,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x00000232C5DC6580>,5.017468205617528e-05
